Certifications,Job Postings,%,code
ORACLE CERTIFICATION (E.G. ORACLE CERTIFIED ASSOCIATE),36,0.02,13-1111
CERTIFIED PAYROLL PROFESSIONAL,34,0.01,13-1111
PHLEBOTOMY CERTIFICATION,34,0.01,13-1111
SAP CERTIFICATION,34,0.01,13-1111
VMWARE CERTIFIED PROFESSIONAL,34,0.01,13-1111
CDL CLASS C,32,0.01,13-1111
CERTIFIED PROFESSIONAL IN HEALTHCARE QUALITY,32,0.01,13-1111
CERTIFIED MEETING PROFESSIONAL,31,0.01,13-1111
CERTIFIED INFORMATION PRIVACY PROFESSIONAL (CIPP),30,0.01,13-1111
AMERICAN BOARD FOR ENGINEERING AND TECHNOLOGY (ABET) ACCREDITED,29,0.01,13-1111
CERTIFIED IN THE GOVERNANCE OF ENTERPRISE IT,29,0.01,13-1111
CERTIFIED TEACHER,29,0.01,13-1111
ENGINEER IN TRAINING CERTIFICATION,29,0.01,13-1111
CERTIFIED ETHICAL HACKER,28,0.01,13-1111
CERTIFIED INFORMATION SYSTEM SECURITY PROFESSIONAL,28,0.01,13-1111
PRINCE2 CERTIFICATION,28,0.01,13-1111
IT SERVICE MANAGEMENT,27,0.01,13-1111
LICENSED MORTGAGE LOAN ORIGINATOR,27,0.01,13-1111
RED HAT CERTIFIED ENGINEER,27,0.01,13-1111
SEATING AND MOBILITY SPECIALIST,27,0.01,13-1111
ACCESS MANAGEMENT,26,0.01,13-1111
CERTIFIED EMPLOYEE ASSISTANCE PROFESSIONAL,25,0.01,13-1111
CERTIFIED SOFTWARE ASSET MANAGER,25,0.01,13-1111
HAZARDOUS MATERIALS CERTIFICATION,25,0.01,13-1111
LICENSED MASTER SOCIAL WORKER,25,0.01,13-1111
CERTIFIED SOFTWARE BUSINESS ANALYST,24,0.01,13-1111
FUNDAMENTAL PAYROLL CERTIFICATION,24,0.01,13-1111
QUALITY MANAGEMENT CERTIFICATION (E.G. CMQ),24,0.01,13-1111
CASINO GAMING LICENSE,23,0.01,13-1111
CERTIFIED CARGO SECURITY PROFESSIONAL,23,0.01,13-1111
MATH CERTIFICATION,23,0.01,13-1111
MICROSOFT CERTIFIED SOLUTION DEVELOPER (MCSD),23,0.01,13-1111
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY (NIST),23,0.01,13-1111
ASSOCIATE BUSINESS CONTINUITY PROFESSIONAL,22,0.01,13-1111
CERTIFIED CASE MANAGER,22,0.01,13-1111
CISCO CERTIFIED DESIGN PROFESSIONAL (CCDP),22,0.01,13-1111
PROFESSIONAL DEVELOPMENT,22,0.01,13-1111
CERTIFIED HEALTH EDUCATION SPECIALIST,21,0.01,13-1111
HOME CARE CERTIFICATE,21,0.01,13-1111
MANAGEMENT AND SUPERVISION,21,0.01,13-1111
PURCHASING CERTIFICATION,21,0.01,13-1111
ADVANCED CERTIFICATE,20,0.01,13-1111
BUSINESS LICENSE,20,0.01,13-1111
CERTIFIED COMPUTER EXAMINER,20,0.01,13-1111
CERTIFIED PROFESSIONAL MEDICAL AUDITOR,20,0.01,13-1111
CERTIFIED QUALITY ENGINEER,19,0.01,13-1111
DATA CENTER DESIGN CONSULTANT,19,0.01,13-1111
HOME HEALTH AIDE,19,0.01,13-1111
PROJECT+,19,0.01,13-1111
AMERICAN INSTITUTE OF CERTIFIED PLANNERS,18,0.01,13-1111
CARDIAC MEDICINE,18,0.01,13-1111
CERTIFIED HAZARDOUS MATERIALS MANAGER,18,0.01,13-1111
FORKLIFT OPERATOR CERTIFICATION,18,0.01,13-1111
MICROSOFT CERTIFIED SYSTEMS ENGINEER (MCSE),18,0.01,13-1111
TECHNICAL TRAINING CERTIFICATION,18,0.01,13-1111
CERTIFIED INTERNAL MEDICINE CODER,17,0.01,13-1111
TEAM BUILDING,17,0.01,13-1111
CERTIFIED EMPLOYEE BENEFITS SPECIALIST,16,0.01,13-1111
CERTIFIED MEDICAL LABORATORY TECHNICIAN,16,0.01,13-1111
LICENSED MENTAL HEALTH COUNSELOR,16,0.01,13-1111
PSYCHOLOGIST LICENSE,16,0.01,13-1111
SERIES 9,16,0.01,13-1111
CAREER DEVELOPMENT,15,0.01,13-1111
CERTIFIED BUSINESS MANAGER,15,0.01,13-1111
CERTIFIED COMMERCIAL INVESTMENT MEMBER (CCIM),15,0.01,13-1111
CERTIFIED DOCUMENT IMAGING ARCHITECT,15,0.01,13-1111
CERTIFIED ENERGY AUDITOR,15,0.01,13-1111
CERTIFIED FAMILY PRACTICE CODER,15,0.01,13-1111
CERTIFIED MANAGEMENT CONSULTANT,15,0.01,13-1111
CERTIFIED PUBLIC ACCOUNTANT (CPA),14915,14.34,13-2051
SECURITY CLEARANCE,2265,2.18,13-2051
REAL ESTATE CERTIFICATION,988,0.95,13-2051
CHARTERED FINANCIAL ANALYST (CFA),859,0.83,13-2051
PROJECT MANAGEMENT CERTIFICATION (E.G. PMP),817,0.79,13-2051
SERIES 7,594,0.57,13-2051
FINANCIAL ACCOUNTING STANDARDS BOARD (FASB),541,0.52,13-2051
CERTIFIED FINANCIAL PLANNER,395,0.38,13-2051
CERTIFIED DEFENSE FINANCIAL MANAGER,336,0.32,13-2051
CERTIFIED TREASURY PROFESSIONAL,306,0.29,13-2051
CERTIFIED GOVERNMENT FINANCIAL MANAGER,247,0.24,13-2051
INSURANCE LICENSE,246,0.24,13-2051
CERTIFICATE IN ACCOUNTING,220,0.21,13-2051
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),191,0.18,13-2051
CERTIFIED MANAGEMENT ACCOUNTANT (CMA),178,0.17,13-2051
SIX SIGMA CERTIFICATION,178,0.17,13-2051
INVESTMENT ADVISOR,168,0.16,13-2051
CHARTERED ALTERNATIVE INVESTMENT ANALYST,162,0.16,13-2051
CERTIFIED FRAUD EXAMINER,148,0.14,13-2051
FINANCIAL RISK MANAGER,141,0.14,13-2051
SIX SIGMA GREEN BELT,139,0.13,13-2051
SERIES 63,135,0.13,13-2051
MASTER PROJECT MANAGEMENT,131,0.13,13-2051
SERIES 6,125,0.12,13-2051
CERTIFIED ANTI MONEY LAUNDERING,118,0.11,13-2051
CERTIFIED PROFESSIONAL CODER,76,0.07,13-2051
SERIES 65,71,0.07,13-2051
IT INFRASTRUCTURE LIBRARY,68,0.07,13-2051
CERTIFIED INTERNAL AUDITOR,67,0.06,13-2051
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),57,0.05,13-2051
SECURITIES LICENSE,53,0.05,13-2051
CHARTERED ACCOUNTANT,47,0.05,13-2051
CHARTERED LIFE UNDERWRITER (CLU),47,0.05,13-2051
CHARTERED FINANCIAL CONSULTANT,44,0.04,13-2051
SERIES 66,42,0.04,13-2051
CHARTERED PROPERTY CASUALTY UNDERWRITER,37,0.04,13-2051
LEADERSHIP IN ENERGY AND ENVIRONMENTAL DESIGN (LEED),36,0.03,13-2051
CDL CLASS A,35,0.03,13-2051
HVAC TECHNICIAN CERTIFICATION (E.G. EPA 608),35,0.03,13-2051
SIX SIGMA BLACK BELT,29,0.03,13-2051
CERTIFIED INFORMATION SECURITY MANAGER (CISM),28,0.03,13-2051
SCRUM,25,0.02,13-2051
CERTIFIED HIPAA PROFESSIONAL,24,0.02,13-2051
LEAN SIX SIGMA,24,0.02,13-2051
CASINO GAMING LICENSE,23,0.02,13-2051
CERTIFIED CASH MANAGER,23,0.02,13-2051
CERTIFIED MANAGER OF COMMUNITY ASSOCIATIONS,23,0.02,13-2051
FIRST AID CPR AED,22,0.02,13-2051
SERIES 24,20,0.02,13-2051
CERTIFIED IN PRODUCTION AND INVENTORY MANAGEMENT,18,0.02,13-2051
MORTGAGE LICENSE,18,0.02,13-2051
BUSINESS LICENSE,17,0.02,13-2051
CERTIFIED ADMINISTRATOR,17,0.02,13-2051
CERTIFIED REGULATORY COMPLIANCE MANAGER,17,0.02,13-2051
SANS/GIAC CERTIFICATION,16,0.02,13-2051
ACCIDENT HEALTH AND LIFE (INSURANCE),15,0.01,13-2051
APICS (AMERICAN PRODUCTION AND INVENTORY CONTROL SOCIETY) CERTIFICATION,15,0.01,13-2051
AGILE CERTIFICATION,14,0.01,13-2051
FINANCE CERTIFICATION,14,0.01,13-2051
CAPABILITY MODEL MATURITY INTEGRATION (CMMI) CERTIFICATION,13,0.01,13-2051
CERTIFIED OFFICIAL,13,0.01,13-2051
CERTIFIED RISK MANAGER,13,0.01,13-2051
LEAN CERTIFICATION,13,0.01,13-2051
PROFESSIONAL COMMUNITY ASSOCIATION MANAGER,13,0.01,13-2051
PROPERTY MANAGER,13,0.01,13-2051
CERTIFIED BUSINESS INTELLIGENCE PROFESSIONAL,12,0.01,13-2051
CERTIFIED GOVERNMENT AUDIT PROFESSIONAL,12,0.01,13-2051
CERTIFIED PAYROLL PROFESSIONAL,12,0.01,13-2051
PRINCE2 CERTIFICATION,12,0.01,13-2051
SEATING AND MOBILITY SPECIALIST,12,0.01,13-2051
BUSINESS ANALYSIS CERTIFICATE,11,0.01,13-2051
DOMESTIC VIOLENCE,11,0.01,13-2051
PARALEGAL CERTIFICATION,11,0.01,13-2051
SOX (SARBANES-OXLEY) CERTIFICATION,11,0.01,13-2051
CERTIFIED COMMERCIAL INVESTMENT MEMBER (CCIM),10,0.01,13-2051
CERTIFIED COMPENSATION PROFESSIONAL,10,0.01,13-2051
HUMAN RESOURCES (E.G. GPHR),10,0.01,13-2051
LIFE AND HEALTH INSURANCE LICENSE,10,0.01,13-2051
MBE CERTIFIED,10,0.01,13-2051
PROGRAM MANAGEMENT CERTIFICATION,10,0.01,13-2051
TOGAF,10,0.01,13-2051
CERTIFIED MEDICAL ASSISTANT,9,0.01,13-2051
CERTIFIED PATIENT ACCOUNT TECHNICIAN,9,0.01,13-2051
MANAGEMENT AND SUPERVISION,9,0.01,13-2051
MICROSOFT CERTIFIED PROFESSIONAL (MCP),9,0.01,13-2051
PHLEBOTOMY CERTIFICATION,9,0.01,13-2051
CDL CLASS C,8,0.01,13-2051
CERTIFIED PROFESSIONAL IN SUPPLY MANAGEMENT,8,0.01,13-2051
COMMERCIAL DRIVER'S LICENSE,8,0.01,13-2051
DATA CENTER DESIGN CONSULTANT,8,0.01,13-2051
REGISTERED HEALTH INFORMATION ADMINISTRATOR,8,0.01,13-2051
CERTIFIED CODING SPECIALIST,7,0.01,13-2051
CERTIFIED GOVERNMENT AUDITING PROFESSIONAL,7,0.01,13-2051
CERTIFIED HEALTHCARE ACCESS ASSOCIATE,7,0.01,13-2051
CISCO CERTIFIED NETWORK ASSOCIATE,7,0.01,13-2051
MANAGEMENT ACCOUNTING,7,0.01,13-2051
MEDICAL BILLING AND CODING CERTIFICATION,7,0.01,13-2051
MICROSOFT EXCEL CERTIFICATION,7,0.01,13-2051
SERIES 9,7,0.01,13-2051
CERTIFIED FINANCIAL EXAMINER,6,0.01,13-2051
CERTIFIED FIRST ASSISTANT,6,0.01,13-2051
CERTIFIED IN INTEGRATED RESOURCE MANAGEMENT (CIRM),6,0.01,13-2051
CERTIFIED RISK MANAGER (CRM),6,0.01,13-2051
CHECK POINT CERTIFIED SECURITY ADMINISTRATOR,6,0.01,13-2051
EPIC CERTIFICATION,6,0.01,13-2051
GOOD CONDUCT,6,0.01,13-2051
REGISTERED HEALTH INFORMATION TECHNICIAN,6,0.01,13-2051
REGISTERED RADIOLOGIST ASSISTANT,6,0.01,13-2051
AMERICAN BOARD FOR ENGINEERING AND TECHNOLOGY (ABET) ACCREDITED,5,0.0,13-2051
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,5,0.0,13-2051
CERTIFIED ENERGY MANAGER,5,0.0,13-2051
CERTIFIED FINANCIAL ADVISOR,5,0.0,13-2051
CERTIFIED IN RISK AND INFORMATION SYSTEMS CONTROL,5,0.0,13-2051
CERTIFIED MEDICAL LABORATORY TECHNICIAN,5,0.0,13-2051
CERTIFIED PHARMACY TECHNICIAN,5,0.0,13-2051
COMMERCIAL WIND MAINTAINER (CWM),5,0.0,13-2051
FUNDAMENTAL PAYROLL CERTIFICATION,5,0.0,13-2051
HAZARDOUS MATERIALS CERTIFICATION,5,0.0,13-2051
LICENSED MORTGAGE LOAN ORIGINATOR,5,0.0,13-2051
MICROSOFT CERTIFIED SYSTEMS ADMINISTRATOR (MCSA),5,0.0,13-2051
MORTGAGE LOAN OFFICER,5,0.0,13-2051
NOTARY LICENSE,5,0.0,13-2051
SERIES 27,5,0.0,13-2051
SERIES 3,5,0.0,13-2051
WELDING CERTIFICATION (E.G. AWS CERTIFIED WELDER),5,0.0,13-2051
ADVANCED CERTIFICATE,4,0.0,13-2051
AMERICAN HEART ASSOCIATION CERTIFICATE,4,0.0,13-2051
AMERICAN INSTITUTE OF CERTIFIED PLANNERS,4,0.0,13-2051
BOARD CERTIFIED/BOARD ELIGIBLE,4,0.0,13-2051
CERTIFIED CHARTERED ACCOUNTANT,4,0.0,13-2051
CERTIFIED EQUITY PROFESSIONAL,4,0.0,13-2051
CERTIFIED FINANCIAL MANAGER,4,0.0,13-2051
CERTIFIED PUBLIC FINANCE OFFICER,4,0.0,13-2051
CERTIFIED RESEARCH ADMINISTRATOR,4,0.0,13-2051
CERTIFIED RESIDENTIAL APPRAISER,4,0.0,13-2051
CERTIFIED SENIOR RADIO ENGINEER,4,0.0,13-2051
ENTERPRISE RESOURCE PLANNING,4,0.0,13-2051
INSTITUTE OF INTERNAL AUDITORS (IIA),4,0.0,13-2051
INSURANCE ADJUSTER,4,0.0,13-2051
MENTAL HEALTH CERTIFICATION,4,0.0,13-2051
REGISTERED CARDIAC SONOGRAPHER,4,0.0,13-2051
REGISTERED CARDIOVASCULAR INVASIVE SPECIALIST,4,0.0,13-2051
SIX SIGMA YELLOW BELT,4,0.0,13-2051
VARIABLE ANNUITY LICENSE,4,0.0,13-2051
ASSOCIATE IN RISK MANAGEMENT,3,0.0,13-2051
CDL CLASS B,3,0.0,13-2051
CERTIFIED A+ TECHNICIAN,3,0.0,13-2051
CERTIFIED APPLICATIONS SPECIALIST,3,0.0,13-2051
CERTIFIED ASSOCIATE BUSINESS ANALYST,3,0.0,13-2051
CERTIFIED BUILDING COMMISSIONING PROFESSIONAL,3,0.0,13-2051
CERTIFIED EMPLOYEE BENEFIT SPECIALIST (CEBS),3,0.0,13-2051
CERTIFIED FINANCIAL SERVICES AUDITOR,3,0.0,13-2051
CERTIFIED HEALTH EDUCATION SPECIALIST,3,0.0,13-2051
CERTIFIED MEETING PLANNER,3,0.0,13-2051
CERTIFIED PERSONNEL CONSULTANT (CPC),3,0.0,13-2051
CERTIFIED PLAYGROUND SAFETY INSPECTOR,3,0.0,13-2051
CERTIFIED SUPPLY CHAIN PROFESSIONAL,3,0.0,13-2051
CERTIFIED VALUATION ANALYST,3,0.0,13-2051
COMPUTER APPLICATIONS,3,0.0,13-2051
COMPUTER SCIENCE CERTIFICATION,3,0.0,13-2051
CONTRACTORS LICENSE,3,0.0,13-2051
FORKLIFT OPERATOR CERTIFICATION,3,0.0,13-2051
HEALTH CARE ADMINISTRATION,3,0.0,13-2051
INSURANCE AGENT CERTIFICATION,3,0.0,13-2051
LIFE INSURANCE LICENSE,3,0.0,13-2051
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY (NIST),3,0.0,13-2051
ORACLE CERTIFICATION (E.G. ORACLE CERTIFIED ASSOCIATE),3,0.0,13-2051
PROFESSIONAL DEVELOPMENT,3,0.0,13-2051
PROFESSIONAL ENGINEER,3,0.0,13-2051
REGISTERED CARDIAC ELECTROPHYSIOLOGY SPECIALIST,3,0.0,13-2051
SALESFORCE.COM ADMINISTRATOR,3,0.0,13-2051
SENIOR PROFESSIONAL IN HUMAN RESOURCES,3,0.0,13-2051
ADVANCED REGISTERED NURSE PRACTITIONER,2,0.0,13-2051
APPRAISAL LICENSE,2,0.0,13-2051
ASSOCIATE BUSINESS CONTINUITY PROFESSIONAL,2,0.0,13-2051
BANKING OPERATIONS CERTIFICATE,2,0.0,13-2051
BOOKKEEPING CERTIFICATION (E.G. CERTIFIED PUBLIC BOOKKEEPER),2,0.0,13-2051
CERTIFIED BUSINESS ANALYST PROFESSIONAL,2,0.0,13-2051
CERTIFIED CARGO SECURITY PROFESSIONAL,2,0.0,13-2051
CERTIFIED CLINICAL RESEARCH PROFESSIONAL,2,0.0,13-2051
CERTIFIED FORENSIC ACCOUNTANT,2,0.0,13-2051
CERTIFIED INVESTMENT MANAGEMENT ANALYST,2,0.0,13-2051
CERTIFIED MANAGER,2,0.0,13-2051
CERTIFIED MATERIALS AND RESOURCE PROFESSIONAL (CMRP),2,0.0,13-2051
CERTIFIED PROCEDURAL CODER,2,0.0,13-2051
CERTIFIED PROFESSIONAL CODER-HOSPITAL OUTPATIENT,2,0.0,13-2051
CERTIFIED SURGICAL TECHNOLOGIST,2,0.0,13-2051
COMMUNICATION SITE INSTALLER (R56),2,0.0,13-2051
ELECTRICIAN CERTIFICATION,2,0.0,13-2051
EXECUTIVE MANAGEMENT,2,0.0,13-2051
FAIR LENDING,2,0.0,13-2051
GLOBAL PROFESSIONAL IN HUMAN RESOURCES,2,0.0,13-2051
MATH CERTIFICATION,2,0.0,13-2051
NATIONAL CAREER READINESS CERTIFICATE,2,0.0,13-2051
NETWORK+ CERTIFIED,2,0.0,13-2051
NURSE PRACTITIONER,2,0.0,13-2051
PHARMACIST,2,0.0,13-2051
PROFESSIONAL IN HUMAN RESOURCES,2,0.0,13-2051
PROJECT+,2,0.0,13-2051
PUBLIC SAFETY CERTIFICATE,2,0.0,13-2051
SECURITY CLEARANCE,2709,1.99,15-1134
PROJECT MANAGEMENT CERTIFICATION (E.G. PMP),272,0.2,15-1134
SECURITY+,269,0.2,15-1134
MICROSOFT CERTIFIED SOLUTION DEVELOPER (MCSD),185,0.14,15-1134
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),146,0.11,15-1134
SANS/GIAC CERTIFICATION,107,0.08,15-1134
IT INFRASTRUCTURE LIBRARY,99,0.07,15-1134
CERTIFIED NOVELL ADMINISTRATOR,93,0.07,15-1134
CAPABILITY MODEL MATURITY INTEGRATION (CMMI) CERTIFICATION,90,0.07,15-1134
CERTIFIED HIPAA PROFESSIONAL,90,0.07,15-1134
WELDING CERTIFICATION (E.G. AWS CERTIFIED WELDER),88,0.06,15-1134
SCRUM,61,0.04,15-1134
MICROSOFT CERTIFIED PROFESSIONAL (MCP),60,0.04,15-1134
CISCO CERTIFIED NETWORK ASSOCIATE,55,0.04,15-1134
SYSTEMS SECURITY CERTIFIED PRACTITIONER,52,0.04,15-1134
JAVA CERTIFICATION (E.G. SUN CERTIFIED JAVA ASSOC),43,0.03,15-1134
CERTIFIED CUSTOMER SERVICE SPECIALIST (CSS),39,0.03,15-1134
MICROSOFT CERTIFIED TECHNOLOGY SPECIALIST (MCTS),39,0.03,15-1134
AGILE CERTIFICATION,38,0.03,15-1134
MICROSOFT CERTIFIED SYSTEMS ADMINISTRATOR (MCSA),37,0.03,15-1134
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),33,0.02,15-1134
NETWORK+ CERTIFIED,33,0.02,15-1134
TOGAF,33,0.02,15-1134
AMERICAN REGISTRY OF RADIOLOGIC TECHNOLOGISTS (ARRT),32,0.02,15-1134
MICROSOFT CERTIFIED SOLUTIONS EXPERT (MCSE),32,0.02,15-1134
WEB DESIGN CERTIFICATION,31,0.02,15-1134
MBE CERTIFIED,26,0.02,15-1134
CERTIFIED INFORMATION SECURITY MANAGER (CISM),23,0.02,15-1134
CERTIFIED CLINICAL RESEARCH PROFESSIONAL,22,0.02,15-1134
CERTIFIED GOVERNMENT CONTRACTOR,21,0.02,15-1134
CERTIFIED INTERNET WEBMASTER,21,0.02,15-1134
CERTIFIED SCRUM PROFESSIONAL,19,0.01,15-1134
CERTIFICATE IN SCHOOL ADMINISTRATION,18,0.01,15-1134
FORKLIFT OPERATOR CERTIFICATION,18,0.01,15-1134
SIX SIGMA CERTIFICATION,18,0.01,15-1134
PROGRAMMING CERTIFICATION (E.G. JAVA PROGRAMMING CERT),17,0.01,15-1134
SERVER+,17,0.01,15-1134
CERTIFIED A+ TECHNICIAN,16,0.01,15-1134
SERIES 6,16,0.01,15-1134
ADOBE CERTIFIED EXPERT (ACE),15,0.01,15-1134
ADVANCED CERTIFICATE,15,0.01,15-1134
CERTIFIED WEB DEVELOPER,15,0.01,15-1134
COMPUTER SCIENCE CERTIFICATION,15,0.01,15-1134
DATA CENTER DESIGN CONSULTANT,15,0.01,15-1134
BUSINESS ANALYSIS CERTIFICATE,14,0.01,15-1134
CERTIFIED USABILITY ANALYST,14,0.01,15-1134
MICROSOFT CERTIFIED SYSTEMS ENGINEER (MCSE),14,0.01,15-1134
SECURITY CERTIFIED NETWORK PROFESSIONAL,14,0.01,15-1134
CAREER DEVELOPMENT,12,0.01,15-1134
LEADERSHIP IN ENERGY AND ENVIRONMENTAL DESIGN (LEED),12,0.01,15-1134
CHARTERED PROPERTY CASUALTY UNDERWRITER,11,0.01,15-1134
CISCO CERTIFIED NETWORK PROFESSIONAL (CCNP),11,0.01,15-1134
COMMERCIAL DRIVER'S LICENSE,11,0.01,15-1134
CONTRACTORS LICENSE,11,0.01,15-1134
FIRST AID CPR AED,11,0.01,15-1134
MANAGEMENT AND SUPERVISION,11,0.01,15-1134
ADVANCED CARDIAC LIFE SUPPORT (ACLS) CERTIFICATION,10,0.01,15-1134
CERTIFIED POST ANESTHESIA NURSE,10,0.01,15-1134
CERTIFIED SENIOR SYSTEM ARCHITECT,10,0.01,15-1134
NATIONAL CAREER READINESS CERTIFICATE,10,0.01,15-1134
QUALITY MANAGEMENT,10,0.01,15-1134
RED HAT CERTIFIED ENGINEER,10,0.01,15-1134
CERTIFIED TEACHER,9,0.01,15-1134
CHARTERED FINANCIAL CONSULTANT,9,0.01,15-1134
CHARTERED LIFE UNDERWRITER (CLU),9,0.01,15-1134
MASSAGE THERAPIST CERTIFICATION,9,0.01,15-1134
MICROSOFT CERTIFIED APPLICATION DEVELOPER,9,0.01,15-1134
ORACLE CERTIFICATION (E.G. ORACLE CERTIFIED ASSOCIATE),9,0.01,15-1134
SDB CERTIFIED,9,0.01,15-1134
CASINO GAMING LICENSE,8,0.01,15-1134
CDL CLASS A,8,0.01,15-1134
CERTIFIED CLINICAL DOCUMENT SPECIALIST,8,0.01,15-1134
CERTIFIED PUBLIC ACCOUNTANT (CPA),8,0.01,15-1134
CERTIFIED SYSTEM ARCHITECT,8,0.01,15-1134
SIX SIGMA BLACK BELT,8,0.01,15-1134
TEACHING CERTIFICATE,8,0.01,15-1134
AUTOMOTIVE SERVICE EXCELLENCE (ASE) CERTIFICATION,7,0.01,15-1134
CERTIFIED ENERGY MANAGER,7,0.01,15-1134
CERTIFIED IN RISK AND INFORMATION SYSTEMS CONTROL,7,0.01,15-1134
CERTIFIED INDUSTRIAL MAINTENANCE MECHANIC,7,0.01,15-1134
CERTIFIED ORTHOPAEDIC SURGERY CODER,7,0.01,15-1134
CERTIFIED REGULATORY COMPLIANCE MANAGER,7,0.01,15-1134
CERTIFIED SYSTEM ADMINISTRATOR,7,0.01,15-1134
CISCO CERTIFIED INTERNETWORK EXPERT (CCIE),7,0.01,15-1134
CLIA CERTIFIED,7,0.01,15-1134
INFORMATION TECHNOLOGY CERTIFICATION,7,0.01,15-1134
RED HAT CERTIFIED SYSTEM ADMINSTRATOR,7,0.01,15-1134
SIX SIGMA GREEN BELT,7,0.01,15-1134
CHARTERED FINANCIAL ANALYST (CFA),6,0.0,15-1134
FINANCIAL RISK MANAGER,6,0.0,15-1134
INSTITUTIONAL REVIEW BOARD (IRB),6,0.0,15-1134
MICROSOFT CERTIFIED DESKTOP SUPPORT TECHNICIAN,6,0.0,15-1134
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY (NIST),6,0.0,15-1134
PATH CERTIFIED,6,0.0,15-1134
PHLEBOTOMY CERTIFICATION,6,0.0,15-1134
TYPING CERTIFICATION,6,0.0,15-1134
CERTIFIED OCCUPATIONAL THERAPY ASSISTANT (COTA),5,0.0,15-1134
CERTIFIED PREMIER PARTNER,5,0.0,15-1134
CERTIFIED PROSTHETIST,5,0.0,15-1134
INVESTMENT ADVISOR,5,0.0,15-1134
MASTER PROJECT MANAGEMENT,5,0.0,15-1134
SALESFORCE.COM DEVELOPER,5,0.0,15-1134
CERTIFIED APPLICATION DEVELOPER,4,0.0,15-1134
CERTIFIED GRAPHIC DESIGNER,4,0.0,15-1134
CERTIFIED PROFESSIONAL CODER,4,0.0,15-1134
CERTIFIED THERAPIST,4,0.0,15-1134
COMPUTER APPLICATIONS,4,0.0,15-1134
LICENSED VOCATIONAL NURSE (LVN),4,0.0,15-1134
LINUX+,4,0.0,15-1134
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION CERTIFICATION,4,0.0,15-1134
"ORACLE CERTIFIED MASTER, JAVA SE 6 DEVELOPER",4,0.0,15-1134
REAL ESTATE CERTIFICATION,4,0.0,15-1134
SECURITY CERTIFIED NETWORK ARCHITECT,4,0.0,15-1134
TEACHING LICENSE,4,0.0,15-1134
CERTIFIED ADMINISTRATOR,3,0.0,15-1134
CERTIFIED MEDICAL LABORATORY TECHNICIAN,3,0.0,15-1134
CERTIFIED NETWORK ADMINISTRATOR,3,0.0,15-1134
CERTIFIED PROGRAMMER,3,0.0,15-1134
CHARTERED ADVISOR FOR SENIOR LIVING,3,0.0,15-1134
CITRIX CERTIFIED ADVANCED ADMINISTRATOR (CCAA),3,0.0,15-1134
COMPUTER ENGINEERING CERTIFICATE,3,0.0,15-1134
DATABASE ADMINISTRATOR (DBA),3,0.0,15-1134
GRAPHIC ARTS,3,0.0,15-1134
HVAC TECHNICIAN CERTIFICATION (E.G. EPA 608),3,0.0,15-1134
MICROSOFT CERTIFIED APPLICATION SPECIALIST (MCAS),3,0.0,15-1134
MOBILE ELECTRONICS CERTIFIED PROFESSIONAL,3,0.0,15-1134
"ORACLE CERTIFIED PROFESSIONAL, JAVA EE 5 BUSINESS COMPONENT DEVELOPER",3,0.0,15-1134
"ORACLE CERTIFIED PROFESSIONAL, JAVA EE 5 WEB COMPONENT DEVELOPER",3,0.0,15-1134
ORACLE SOA CERTIFICATION,3,0.0,15-1134
ORACLE UNIFIED BUSINESS PROCESS MANAGEMENT SUITE 11G CERTIFIED IMPLEMENTATION SPECIALIST,3,0.0,15-1134
ACUTE CARE NURSE PRACTITIONER,2,0.0,15-1134
ADVANCED PRACTICE NURSE,2,0.0,15-1134
ADVERTISING CERTIFICATION,2,0.0,15-1134
AMERICAN BOARD FOR ENGINEERING AND TECHNOLOGY (ABET) ACCREDITED,2,0.0,15-1134
AMERICAN PHYSICAL THERAPY ASSOCIATION (APTA),2,0.0,15-1134
BOOT CAMP CERTIFICATE,2,0.0,15-1134
CERTIFICATE IN ACCOUNTING,2,0.0,15-1134
CERTIFIED CODING SPECIALIST,2,0.0,15-1134
CERTIFIED IN HEALTHCARE PRIVACY AND SECURITY,2,0.0,15-1134
CERTIFIED INTEGRATOR,2,0.0,15-1134
CERTIFIED MEDICAL ASSISTANT,2,0.0,15-1134
CERTIFIED MEETING PROFESSIONAL,2,0.0,15-1134
CERTIFIED REHABILITATION COUNSELOR,2,0.0,15-1134
CHARTERED INSTITUTE OF PERSONNEL AND DEVELOPMENT (CIPD),2,0.0,15-1134
DIRECT CARE,2,0.0,15-1134
ELECTRIC VEHICLE TECHNICIAN (EVT),2,0.0,15-1134
EPIC CERTIFICATION,2,0.0,15-1134
GRAPHIC DESIGN CERTIFICATION,2,0.0,15-1134
HAZARDOUS MATERIALS CERTIFICATION,2,0.0,15-1134
HAZARDOUS WASTE TRANSPORTATION CERTIFICATE,2,0.0,15-1134
